Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
Fistful of Vengeance,2022-02-18,6,-,-,Fistful of Vengeance,Movie,Yes,2022-02-17,1,5,2022
Friends with Benefits,2021-04-08,10,6,-,Friends with Benefits,Movie,No,2021-04-01,7,38,2021
Going in Style,2021-10-20,10,10,-,Going in Style,Movie,No,2021-10-11,5,8,2021
Good on Paper,2021-07-01,10,8,6,Good on Paper,Movie,Yes,2021-06-23,8,37,2021
Green Lantern,2021-09-08,10,9,-,Green Lantern,Movie,No,2021-09-01,7,33,2021
Green Zone,2021-05-07,9,6,-,Green Zone,Movie,No,2021-05-01,6,27,2021
Grown Ups,2021-10-04,10,10,5,Grown Ups,Movie,No,2021-09-20,10,49,2021
Grumpy Christmas,2021-12-22,8,-,-,Grumpy Christmas,Movie,Yes,2021-12-21,1,3,2021
Gunpowder Milkshake,2021-07-20,9,5,-,Gunpowder Milkshake,Movie,Yes,2021-07-14,6,39,2021
Hard Kill,2020-11-30,8,9,-,Hard Kill,Movie,No,2020-11-23,6,31,2020
Hasta el cielo,2021-04-04,10,5,-,Hasta el cielo,Movie,Yes,2021-04-02,2,7,2021
Have a Good Trip: Adventure…,2020-05-17,10,10,-,Have a Good Trip: Adventure…,Movie,Yes,2020-05-11,5,15,2020
Here Comes the Boom,2021-11-24,6,7,-,Here Comes the Boom,Movie,No,2021-11-20,2,9,2021
Heâs All That,2021-09-05,8,8,1,Heâs All That,Movie,Yes,2021-08-27,9,69,2021
Hillbilly Elegy,2020-12-01,7,6,-,Hillbilly Elegy,Movie,Yes,2020-11-24,7,52,2020
His House,2020-11-03,7,4,-,His House,Movie,Yes,2020-10-30,4,19,2020
Holidate,2020-11-10,10,7,2,Holidate,Movie,Yes,2020-10-28,13,91,2020
Home,2021-09-30,9,-,-,Home,Movie,No,2021-05-25,21,123,2021
Home Team,2022-02-07,10,9,5,Home Team,Movie,Yes,2022-01-28,10,41,2022
Homefront,2021-02-01,8,8,2,Homefront,Movie,No,2021-01-18,12,74,2021
Hometown Holiday,2020-11-18,9,9,-,Hometown Holiday,Movie,No,2020-11-15,2,4,2020
Hop,2021-04-05,5,-,-,Hop,Movie,No,2020-01-16,2,10,2021
House at the End of the Street,2020-05-13,10,-,-,House at the End of the Street,Movie,No,2013-05-08,1,1,2020
How the Grinch Stole Christmas,2020-12-28,10,6,2,How the Grinch Stole Christmas,Movie,No,2017-06-01,29,137,2020
How to Train Your Dragon 2,2020-09-16,10,-,-,How to Train Your Dragon 2,Movie,No,2020-09-11,1,1,2020
Hubie Halloween,2020-11-02,10,5,9,Hubie Halloween,Movie,Yes,2020-10-07,19,141,2020
Hypnotic,2021-11-02,10,5,-,Hypnotic,Movie,Yes,2021-10-27,6,29,2021
I Am All Girls,2021-05-20,9,6,-,I Am All Girls,Movie,Yes,2021-05-14,6,19,2021
I Care a Lot.,2021-03-08,10,10,3,I Care a Lot.,Movie,Yes,2021-02-19,15,103,2021
I Now Pronounce You Chuck a…,2020-07-10,8,8,-,I Now Pronounce You Chuck a…,Movie,No,2018-03-01,5,15,2020
If Anything Happens I Love You,2020-11-25,10,8,-,If Anything Happens I Love You,Movie,Yes,2020-11-20,2,4,2020
Illumination Presents The G…,2020-12-04,6,9,6,Illumination Presents The G…,Movie,No,2019-06-05,24,95,2020
Intrusion,2021-09-30,6,9,-,Intrusion,Movie,Yes,2021-09-22,7,37,2021
Ip Man 4: The Finale,2020-07-27,10,7,-,Ip Man 4: The Finale,Movie,No,2020-07-21,5,22,2020
Jingle Jangle: A Christmas …,2020-12-26,8,8,-,Jingle Jangle: A Christmas …,Movie,Yes,2020-11-13,10,40,2020
Jiu Jitsu,2021-03-25,9,8,-,Jiu Jitsu,Movie,No,2021-03-20,4,16,2021
John Henry,2020-05-18,9,7,3,John Henry,Movie,No,2020-05-09,8,50,2020
Journey 2: The Mysterious I…,2022-01-07,9,8,-,Journey 2: The Mysterious I…,Movie,No,2022-01-01,6,22,2022
Jungle Beat: The Movie,2021-05-21,9,8,-,Jungle Beat: The Movie,Movie,No,2021-05-14,6,17,2021
Jurassic Park,2020-08-10,9,9,-,Jurassic Park,Movie,No,2020-08-01,6,20,2020
Just Go With It,2022-01-14,10,8,8,Just Go With It,Movie,No,2020-05-22,19,67,2022
Just Like Heaven,2022-03-07,10,10,-,Just Like Heaven,Movie,No,2022-03-01,4,8,2022
Kate,2021-09-30,10,-,9,Kate,Movie,Yes,2021-09-10,14,91,2021
King Arthur: Legend of the …,2021-11-01,8,7,-,King Arthur: Legend of the …,Movie,No,2021-10-25,6,20,2021
Klaus,2020-12-26,9,7,-,Klaus,Movie,Yes,2019-11-15,2,6,2020
Knock Knock,2020-11-11,8,7,3,Knock Knock,Movie,No,2020-11-01,9,58,2020
Kung Fu Panda,2021-07-09,10,9,-,Kung Fu Panda,Movie,No,2021-07-01,3,5,2021
Latte & the Magic Waterstone,2020-08-05,10,7,-,Latte & the Magic Waterstone,Movie,Yes,2020-07-31,2,5,2020
Law Abiding Citizen,2021-12-16,9,7,7,Law Abiding Citizen,Movie,No,2018-12-16,8,30,2021
Legally Blonde,2021-04-12,8,9,-,Legally Blonde,Movie,Yes,2021-04-01,6,13,2021
Life,2021-12-08,9,9,-,Life,Movie,No,2021-12-01,7,23,2021
Lost Bullet,2020-06-26,9,7,-,Lost Bullet,Movie,Yes,2020-06-19,7,33,2020
Love,2020-07-01,10,10,7,Love,Movie,No,2016-02-04,8,23,2020
Love Happens,2021-05-07,10,5,-,Love Happens,Movie,No,2021-05-01,6,29,2021
Love Hard,2021-11-18,9,5,1,Love Hard,Movie,Yes,2021-11-05,13,111,2021
Love Wedding Repeat,2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,2020-04-10,5,27,2020
"Love, Guaranteed",2020-09-11,7,5,3,"Love, Guaranteed",Movie,Yes,2020-09-03,8,59,2020
Ma Raineyâs Black Bottom,2020-12-22,7,1,-,Ma Raineyâs Black Bottom,Movie,Yes,2020-12-18,4,34,2020
Madagascar 3: Europe's Most…,2021-05-13,10,10,4,Madagascar 3: Europe's Most…,Movie,No,2021-05-01,12,56,2021
Magnetic,2020-06-22,10,8,-,Magnetic,Movie,No,2020-06-12,4,7,2020
Major Grom: Plague Doctor,2021-07-14,7,6,-,Major Grom: Plague Doctor,Movie,Yes,2021-07-07,5,23,2021
Major Payne,2021-08-13,9,7,-,Major Payne,Movie,No,2021-08-01,4,11,2021
Malcolm & Marie,2021-02-09,8,3,-,Malcolm & Marie,Movie,Yes,2021-02-05,4,28,2021
Malibu Rescue: The Next Wave,2020-08-07,7,4,-,Malibu Rescue: The Next Wave,Movie,Yes,2020-08-03,3,18,2020
Marauders,2020-12-08,5,5,-,Marauders,Movie,No,2020-12-02,5,32,2020
Midnight at the Magnolia,2020-11-10,9,9,-,Midnight at the Magnolia,Movie,No,2020-11-05,3,5,2020
Mile 22,2020-11-14,8,8,4,Mile 22,Movie,No,2020-11-01,11,65,2020
Moneyball,2020-10-20,7,5,-,Moneyball,Movie,No,2020-10-14,6,35,2020
Monster,2021-05-12,9,8,-,Monster,Movie,Yes,2021-05-07,5,16,2021
Monsters vs. Aliens,2021-06-10,9,9,-,Monsters vs. Aliens,Movie,No,2021-06-01,6,10,2021
Mother's Day,2021-07-12,9,10,4,Mother's Day,Movie,No,2021-07-01,9,44,2021
Moxie,2021-03-10,10,10,-,Moxie,Movie,Yes,2021-03-03,7,33,2021
Mr. Peabody & Sherman,2020-08-25,10,9,5,Mr. Peabody & Sherman,Movie,No,2020-08-11,13,59,2020
Munich: The Edge of War,2022-01-27,8,8,-,Munich: The Edge of War,Movie,Yes,2022-01-21,3,7,2022
Murder to Mercy: The Cyntoi…,2020-05-05,10,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,2020-04-29,6,25,2020
My Little Pony: A New Gener…,2021-10-10,10,-,5,My Little Pony: A New Gener…,Movie,Yes,2021-09-24,13,68,2021
Night Teeth,2021-10-26,10,7,-,Night Teeth,Movie,Yes,2021-10-20,6,24,2021
Nightbooks,2021-09-21,10,10,-,Nightbooks,Movie,Yes,2021-09-15,5,12,2021
No One Gets Out Alive,2021-10-01,4,2,-,No One Gets Out Alive,Movie,Yes,2021-09-29,2,16,2021
Octonauts & The Ring of Fire,2021-04-02,9,10,-,Octonauts & The Ring of Fire,Movie,Yes,2021-03-30,2,3,2021
Only,2020-07-14,9,7,-,Only,Movie,No,2020-07-05,7,23,2020
Operation Christmas Drop,2020-11-12,8,6,-,Operation Christmas Drop,Movie,Yes,2020-11-05,7,50,2020
Operation Varsity Blues,2021-03-28,7,8,5,Operation Varsity Blues,Movie,Yes,2021-03-17,11,67,2021
Outside the Wire,2021-01-24,8,8,1,Outside the Wire,Movie,Yes,2021-01-15,9,69,2021
Over the Moon,2020-11-05,10,6,5,Over the Moon,Movie,Yes,2020-10-23,13,80,2020
Parker,2021-03-16,10,5,-,Parker,Movie,No,2021-03-04,7,36,2021
Passing,2021-11-14,7,10,-,Passing,Movie,Yes,2021-11-10,3,9,2021
Patriots Day,2020-07-09,9,6,3,Patriots Day,Movie,No,2020-07-01,8,52,2020
Peppermint,2020-12-09,9,4,6,Peppermint,Movie,No,2020-12-01,8,53,2020
Peter Rabbit 2,2021-12-13,8,8,-,Peter Rabbit 2,Movie,No,2021-12-09,4,19,2021
Pets United,2020-09-20,10,10,2,Pets United,Movie,Yes,2020-09-11,9,53,2020
Pieces of a Woman,2021-01-11,7,6,-,Pieces of a Woman,Movie,Yes,2021-01-07,4,24,2021
Prey,2021-09-16,8,5,-,Prey,Movie,Yes,2021-09-10,5,25,2021
Project Power,2020-08-31,7,8,2,Project Power,Movie,Yes,2020-08-14,17,134,2020
Public Enemies,2020-05-22,10,10,-,Public Enemies,Movie,No,2020-05-16,6,19,2020
Puss in Boots,2020-09-08,10,10,-,Puss in Boots,Movie,No,2020-09-01,2,2,2020
Quantum of Solace,2020-09-02,6,9,-,Quantum of Solace,Movie,No,2020-08-31,2,7,2020
Rango,2021-01-01,8,-,-,Rango,Movie,No,2020-12-28,1,3,2021
Real Steel,2020-10-01,6,4,-,Real Steel,Movie,No,2020-09-24,7,52,2020
Rebecca,2020-10-27,9,7,-,Rebecca,Movie,Yes,2020-10-21,6,33,2020
Red Dot,2021-02-16,8,7,-,Red Dot,Movie,Yes,2021-02-11,5,16,2021
Red Notice,2021-12-12,9,10,9,Red Notice,Movie,Yes,2021-11-12,23,162,2021
Replicas,2021-11-04,10,9,-,Replicas,Movie,No,2021-11-01,2,3,2021
Resort to Love,2021-08-04,9,5,-,Resort to Love,Movie,Yes,2021-07-29,6,37,2021
Restless,2022-03-02,10,5,-,Restless,Movie,Yes,2022-02-25,4,18,2022
